GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Bremen;2016;2271;1614;657;1380;6880;416;10543;4622;5921;6488;37166;477;12814;6236;6578;7867;44046;467
Bremen;2017;2112;1608;504;1234;6427;434;9978;5034;4944;6230;38556;516;12090;6642;5448;7464;44982;502
Bremen;2018;2034;1564;470;1190;6163;431;9153;4655;4498;5624;34863;517;11187;6219;4968;6815;41026;502
Hamburg;1991;2578;1113;1465;1500;4521;251;19736;7800;11936;14308;58817;343;22316;8915;13401;15809;63343;334
Hamburg;1992;2548;1102;1446;1500;4443;247;19608;7405;12203;13907;57004;342;22156;8507;13649;15407;61448;332
Hamburg;1993;2351;953;1398;1649;5072;256;17868;5416;12452;14889;62403;349;20219;6369;13850;16538;67474;340
Hamburg;1994;2363;1224;1139;1364;4217;258;16653;6437;10216;11572;48737;351;19016;7661;11355;12935;52955;341
Hamburg;1995;2294;1141;1153;1341;4202;261;14966;6167;8799;10255;44365;361;17260;7308;9952;11596;48568;349
Hamburg;1996;1566;741;825;929;2953;265;10880;4770;6110;7294;33015;377;12446;5511;6935;8223;35968;365
Hamburg;1997;2128;1005;1123;1314;3749;238;10433;4196;6237;7068;31674;373;12561;5201;7360;8382;35423;352
Hamburg;1998;2263;1088;1175;1412;4029;238;10241;4104;6137;6999;31051;370;12504;5192;7312;8411;35081;348
Hamburg;1999;2338;1156;1182;1405;4186;248;9857;3963;5894;6723;30089;373;12195;5119;7076;8128;34275;351
Hamburg;2000;2326;1141;1185;1338;4042;252;9740;3717;6023;6593;29800;377;12066;4858;7208;7931;33842;356
Hamburg;2001;2823;1789;1034;1576;5586;295;11270;3029;8241;7402;36652;413;14093;4818;9275;8978;42239;392
